time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-14T10:23:51.921Z,2.2973,128.0355,10,4.5,mb,54,77,1.656,0.7,us,us7000jjsw,2023-03-14T13:08:33.040Z,"62 km N of Tobelo, Indonesia",earthquake,8.85,1.897,0.085,41,reviewed,us,us
2023-03-14T10:01:15.052Z,51.7449,159.5407,10,5,mb,98,125,1.392,0.68,us,us7000jjsn,2023-03-14T10:26:34.040Z,"153 km SSE of Vilyuchinsk, Russia",earthquake,8.69,1.872,0.051,123,reviewed,us,us
2023-03-14T06:47:35.616Z,38.0742,36.9299,10,4.6,mb,54,57,0.522,0.84,us,us7000jjrw,2023-03-14T08:41:29.764Z,"19 km S of Afşin, Turkey",earthquake,3.94,1.911,0.105,27,reviewed,us,us
2023-03-14T05:07:00.009Z,6.7938,-73.0147,157.698,4.5,mb,59,38,0.899,1.02,us,us7000jjrd,2023-03-14T07:02:24.040Z,"6 km NW of Cepitá, Colombia",earthquake,7.49,6.954,0.041,176,reviewed,us,us
2023-03-14T00:49:08.501Z,-5.4058,146.8537,213,6.3,mww,168,13,3.985,0.5,us,us7000jjp7,2023-03-14T10:17:18.733Z,"119 km E of Madang, Papua New Guinea",earthquake,7.86,1.875,0.041,57,reviewed,us,us
2023-03-13T22:50:45.519Z,-28.1708,-67.5856,136.697,5.2,mww,110,30,1.91,1.11,us,us7000jjnk,2023-03-13T23:07:54.040Z,"12 km S of Tinogasta, Argentina",earthquake,7.63,5.729,0.047,44,reviewed,us,us
2023-03-13T21:53:45.916Z,20.8149,121.6338,57.614,4.7,mb,39,78,2.058,0.63,us,us7000jjn9,2023-03-13T22:11:04.040Z,"53 km NW of Basco, Philippines",earthquake,4.9,7.452,0.091,37,reviewed,us,us
2023-03-13T21:46:06.599Z,-11.9936,166.0362,10,5,mb,41,108,3.615,1.06,us,us7000jjn7,2023-03-13T22:06:27.040Z,"142 km S of Lata, Solomon Islands",earthquake,9.11,1.883,0.098,33,reviewed,us,us
2023-03-13T19:19:15.164Z,-17.663,-70.384,103.587,5.1,mb,50,132,0.705,1.44,us,us7000jjll,2023-03-14T11:27:35.566Z,"18 km NE of Sama Grande, Peru",earthquake,7.73,5.694,0.037,242,reviewed,us,us
2023-03-13T14:40:04.580Z,44.5989,149.3446,35,4.5,mb,91,81,5.175,0.58,us,us7000jjjc,2023-03-13T15:46:34.040Z,"135 km ESE of Kuril’sk, Russia",earthquake,9.78,1.863,0.061,78,reviewed,us,us
2023-03-13T14:29:57.603Z,44.5378,149.3325,35,4.6,mb,117,83,5.165,0.75,us,us7000jjj9,2023-03-13T15:29:06.040Z,"Kuril Islands",earthquake,8.9,1.848,0.044,153,reviewed,us,us
2023-03-13T13:40:51.003Z,-31.5023,-177.7773,10,5,mb,29,166,2.236,1.11,us,us7000jjiy,2023-03-13T13:58:22.040Z,"Kermadec Islands region",earthquake,10.72,1.96,0.115,24,reviewed,us,us
2023-03-13T12:52:07.441Z,14.3515,123.0237,35.592,4.5,mb,28,115,8.62,0.88,us,us7000jjiv,2023-03-13T21:00:21.124Z,"Luzon, Philippines",earthquake,12.2,8.696,0.107,26,reviewed,us,us
